mmu00010,Glycolysis / Gluconeogenesis
12894,Cpt1a
12895,Cpt1b
78070,Cpt1c
12896,Cpt2
13177,Eci1
23986,Eci2
69123,Eci3
13118,Cyp4a12b
13117,Cyp4a10
13119,Cyp4a14
435802,Cyp4a30b
230639,Cyp4a29
666168,Cyp4a31
100040843,Cyp4a32
277753,Cyp4a12a
11522,Adh1
11529,Adh7
26876,Adh4
11532,Adh5
11669,Aldh2
11671,Aldh3a2
72535,Aldh1b1
110695,Aldh7a1
56752,Aldh9a1
mmu00072,Synthesis and degradation of ketone bodies
208715,Hmgcs1
15360,Hmgcs2
15356,Hmgcl
208982,Hmgcll1
67041,Oxct1
64059,Oxct2a
353371,Oxct2b
110460,Acat2
110446,Acat1
69772,Bdh2
71911,Bdh1
mmu00100,Steroid biosynthesis
14137,Fdft1
20775,Sqle
16987,Lss
13121,Cyp51
73166,Tm7sf2
98386,Lbr
66234,Msmo1
18194,Nsdhl
15490,Hsd17b7
13595,Ebp
74754,Dhcr24
235293,Sc5d
13360,Dhcr7
16889,Lipa
12613,Cel
20652,Soat1
223920,Soat2
244209,Cyp2r1
13115,Cyp27b1
13081,Cyp24a1
mmu00120,Primary bile acid biosynthesis
13116,Cyp46a1
56050,Cyp39a1
101502,Hsd3b7
12642,Ch25h
13123,Cyp7b1
13122,Cyp7a1
104086,Cyp27a1
13124,Cyp8b1
208665,Akr1d1
26459,Slc27a5
17117,Amacr
93732,Acox2
15488,Hsd17b4
20280,Scp2
170789,Acot8
12012,Baat
mmu00130,Ubiquinone and other terpenoid-quinone biosynthesis
234724,Tat
71883,Coq2
230027,Coq3
217707,Coq6
52064,Coq5
12850,Coq7
18104,Nqo1
56316,Ggcx
27973,Vkorc1
69568,Vkorc1l1
15445,Hpd
mmu00140,Steroid hormone biosynthesis
13070,Cyp11a1
13074,Cyp17a1
20905,Sts
54200,Sult2b1
13079,Cyp21a1
15495,Hsd3b4
15496,Hsd3b5
15493,Hsd3b2
15492,Hsd3b1
15497,Hsd3b6
100043456,Gm10681
78925,Srd5a1
94224,Srd5a2
57357,Srd5a3
13072,Cyp11b2
110115,Cyp11b1
208665,Akr1d1
15483,Hsd11b1
15484,Hsd11b2
105349,Akr1c18
13123,Cyp7b1
20860,Sult1e1
15485,Hsd17b1
15486,Hsd17b2
27400,Hsd17b6
15490,Hsd17b7
14979,H2-Ke6
56348,Hsd17b12
192970,Dhrs11
13076,Cyp1a1
13077,Cyp1a2
13088,Cyp2b10
13089,Cyp2b13
13090,Cyp2b19
13094,Cyp2b9
243881,Cyp2b23
13097,Cyp2c38
